epoch,train_runtime,train_samples_per_second,train_steps_per_second,train_loss,cosim
1,11.9558,52.945,3.346,0.6152947902679443,0.22913378
2,11.9947,52.773,3.335,0.14214900732040406,0.23388891
3,12.0379,52.584,3.323,0.018943460285663606,0.23538308
4,12.0801,52.4,3.311,0.002620718814432621,0.24115036
5,12.083,52.388,3.31,0.0020556069910526277,0.24045068
6,12.1147,52.251,3.302,0.0007639288436621427,0.24969047
7,15.7254,40.253,2.544,0.0006298827007412911,0.24404007
8,16.3547,38.705,2.446,0.00043950388208031655,0.2556747
9,16.4495,38.481,2.432,2.8764500166289507e-05,0.25519818
10,16.2043,39.064,2.468,0.00023227271158248185,0.25749144
11,16.0566,39.423,2.491,6.6790911660064015e-06,0.2605707
12,16.0912,39.338,2.486,5.355793400667608e-05,0.2609418
13,17.2149,36.77,2.324,3.05729299725499e-06,0.2550288
14,23.6934,26.716,1.688,1.315974623139482e-06,0.26356453
15,18.0601,35.05,2.215,5.023552603233838e-07,0.26513502
16,23.9891,26.387,1.667,2.77865228781593e-07,0.26526472
17,22.7205,27.86,1.761,1.9454291759757326e-07,0.26508695
18,22.9697,27.558,1.741,1.5317150428018068e-07,0.26475117
19,16.2185,39.029,2.466,1.24776522625325e-07,0.2641773
20,16.2069,39.058,2.468,1.037286324390152e-07,0.26375592
21,15.9487,39.69,2.508,8.924139365262817e-08,0.26328632
22,15.8429,39.955,2.525,7.624427098562591e-08,0.26273108
23,15.9654,39.648,2.505,6.19432910298201e-08,0.26196986
24,15.8366,39.971,2.526,5.0808819196390684e-08,0.26141924
25,15.8608,39.91,2.522,4.3399629134910354e-08,0.26094115
26,16.2383,38.982,2.463,3.669410659767891e-08,0.2603294
