Question,Expected Answer
Apa itu Tesis?,Tesis adalah karya ilmiah yang ditulis untuk memenuhi salah satu syarat untuk menyelesaikan studi pascasarjana strata 2 (program Magister) di Institut Teknologi Sepuluh Nopember Surabaya.
Bagaimana Ketentuan Abstrak dalam penulisan Tesis,"Abstrak berjarak 2 spasi dari kata ABSTRAK, yang tertulis di tengah halaman, dengan ukuran font 14, dicetak tebal, dan menggunakan huruf kapital untuk semua huruf (upper case)."
Apa saja tata tertib pelaksanaan sidang proposal Tesis?,"1. Peserta sidang proposal tesis menyiapkan perangkat laptop yang memadai dan jaringan internet yang stabil serta berada di tempat yang kondusif.
2. Peserta sidang proposal tesis menyiapkan aplikasi Zoom dengan fitur kamera dan audio yang dapat berfungsi dengan baik.
3. Peserta sidang proposal tesis menyiapkan file presentasi berupa PPT dan draft proposal tesis.
4. Waktu sidang proposal tesis berlangsung selama 60 menit, 15 menit presentasi dan 45 menit tanya jawab.
5. Peserta sidang proposal tesis disarankan untuk standby 30 menit sebelum jadwal yang ditentukan dan dapat bergabung pada link zoom meeting sesuai jadwal yang telah ditentukan atau sesuai instruksi dari dosen pembimbing/ penguji.
6. Peserta sidang proposal tesis memakai dresscode berupa kemeja lengan panjang dan berdasi (laki-laki) dan memakai kemeja dengan blazer tanpa berdasi (perempuan).
7. Selama sidang proposal tesis, peserta sidang proposal tesis wajib menggunakan virtual background yang dapat diunduh melalui https://bit.ly/VBProposalTesis dan kamera diharapkan selalu menyala (ON).
8. Selama sesi diskusi dan tanya jawab, peserta sidang proposal tesis diharapkan dapat mencatat masukan dan koreksi dari dosen penguji.
9. Link Zoom meeting sidang proposal tesis akan diinfokan H-1 melalui grup Whatsapp."
Kapan Wisuda 129 dilaksanakan?,Wisuda 129 Periode April 2024 yang akan dilaksanakan secara offline pada tanggal 20-21 April 2024
Berapa biaya peminjaman toga?,"Wisudawan S1 dan S1 TERAPAN : Membayar Biaya Jaminan Toga Rp. 300.000,- (Tiga Ratus Ribu Rupiah). Wisudawan ASING dan Wisudawan Non UKT S2 & S3 Membayar biaya Sewa dan Jaminan Toga Rp. 550.000,- (Lima ratus lima puluh ribu rupiah)"
Dimana alamat Departemen Teknik Industri? ,Tidak tahu
Apa Url untuk mengunggah Repository Jurnal Pomits?,https://ejurnal.its.ac.id/index.php/index/login
Berapa sks mata kuliah pengayaan yang bisa diambil?,Di peraturan akademik mengambil MK pengayaan maksimal 6 sks dan minimum 3 sks.
"Jika saya membutuhkan surat tugas untuk mengisi SKEM, kemana saya meminta?",silakan kontak ke CP Dirmawa di 082233935593 atau mengacu ke pamflet yang ada di folder MBKM dari link akademik Sarjana
Berapa ukuran maksimal untuk setiap file yang diunggah di Jurnal POmITS?,Ukuran masing-masing file tidak boleh lebih dari 2 MB.
Di lantai mana kuliah Agama Islam di Semester Regular diadakan?,"Kuliah Agama Islam di Semester Regular diadakan di Tower 1, Lt. 5."
Kapan waktu kuliah Fisika Mekanika di Semester Regular berlangsung?,"Kuliah Fisika Mekanika di Semester Regular berlangsung pada Senin dan Rabu, pukul 15.30-17.10."
Berapa jumlah SKS untuk mata kuliah Matematika di Semester IUP? ,Mata kuliah Matematika di Semester IUP memiliki 2 SKS.
Apa hari dan jam kuliah untuk Bahasa Indonesia di Semester IUP?,"Kuliah Bahasa Indonesia di Semester IUP berlangsung pada Kamis, pukul 13.30-15.10."
Bagaimana cara penulisan abstrak yang benar dalam proposal tesis?,"Abstrak ditulis dalam Bahasa Indonesia dan Bahasa Inggris pada halaman yang berbeda, maksimal 350 kata, dengan format yang mencakup latar belakang, permasalahan, metodologi, dan kata kunci."
Bagaimana aturan penomoran halaman dalam proposal dan tesis?,"Semua bagian sebelum teks diberi nomor halaman dengan angka Romawi kecil pada bagian bawah-tengah halaman, sedangkan bagian teks dan seterusnya menggunakan angka Arab dan diletakkan di bagian bawah-tengah halaman."
Apa ketentuan margin dalam penulisan proposal tesis? ,"Margin yang ditetapkan adalah 3,5 cm dari tepi atas, 3 cm dari tepi bawah, 4 cm dari tepi kiri (halaman ganjil) atau kanan (halaman genap), dan 3 cm dari tepi kanan (halaman ganjil) atau kiri (halaman genap)."
Apa syarat yang harus dipenuhi mahasiswa sebelum dapat membuat proposal tesis,"Mahasiswa harus menyelesaikan minimal 25% beban sks dengan IP kumulatif di atas 2,5 tanpa nilai D dan E sebelum dapat membuat proposal tesis."
Bagaimana proses seminar proposal tesis dilaksanakan? ,"Proposal tesis harus dipresentasikan dalam seminar terbuka yang dihadiri oleh dosen pembimbing, dosen penguji, mahasiswa pascasarjana pada bidang keahlian yang sama, dan pihak lain yang berminat."
Apa saja pilihan penilaian yang dapat diberikan oleh tim penguji proposal tesis?,"im penguji dapat memberikan penilaian berupa: proposal disetujui, proposal disetujui dengan perbaikan, atau proposal tidak disetujui dan harus diulang."
